,millName,totalCount,totaluvCount,totalconetipCount,total_uv_Defect,total_uv_Nondefect,total_conetip_Nondefect,total_conetip_Defect,lastDay_uv_Defect,lastDay_uv_Nondefect,lastDay_conetip_Nondefect,lastDay_conetip_Defect,lastuv_inspectionOn,lastconetip_inspectionOn,firstInspectionOn
0,mill1,3919,2053,1866,423,1630,22,1844,1,0,0,1,2023-09-01 12:16:36.996504,2023-06-02 17:37:21.761583+05:30,2023-04-26 00:00:00
1,mill2,3919,2053,1866,423,1630,22,1844,1,0,0,1,2023-09-01 12:16:36.996504,2023-06-02 17:37:21.761583+05:30,2023-04-26 00:00:00
